Shipping Service,Order Quantity,Province,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,Product ID,Category,Sub-Category,Product Name,Sales,Discount,Profit
Standard Class,2,Thanh Hoa,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Tracy Blumstein,Consumer,Vietnam,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,0.20000000000000001,3.546
Second Class,3,Binh Duong,CA-2017-107727,10/19/2017,10/23/2017,MA-17560,Matt Abelman,Home Office,Vietnam,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,0.20000000000000001,9.9468
Standard Class,9,Binh Duong,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Steve Nguyen,Home Office,Vietnam,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,0.20000000000000001,35.415
Standard Class,3,Binh Duong,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Steve Nguyen,Home Office,Vietnam,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,0.32000000000000001,-46.9764
Standard Class,3,Binh Duong,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Steve Nguyen,Home Office,Vietnam,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,0.29999999999999999,-15.147
Standard Class,4,Binh Duong,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Steve Nguyen,Home Office,Vietnam,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,0.20000000000000001,41.7564
Standard Class,2,Ha Noi,CA-2016-101343,7/17/2016,7/22/2016,RA-19885,Ruben Ausman,Corporate,Vietnam,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,0,3.894
Standard Class,7,Tp.HCM,CA-2016-105816,12/11/2016,12/17/2016,JM-15265,Janet Molinari,Corporate,Vietnam,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,0,6.2566
Standard Class,5,Ho chi Minh,CA-2016-105816,12/11/2016,12/17/2016,JM-15265,Janet Molinari,Corporate,Vietnam,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,0,298.6855
1st class,6,Lao Cai,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Ted Butterfield,Consumer,Vietnam,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,0,52.14
1st class,5,Lao Cai,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Ted Butterfield,Consumer,Vietnam,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,0,15.552
1st class,5,Lao Cai,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Ted Butterfield,Consumer,Vietnam,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,0.10000000000000001,7.098
1st class,2,Lao Cai,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Ted Butterfield,Consumer,Vietnam,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,0,6.9888
1st class,2,Lao Cai,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Ted Butterfield,Consumer,Vietnam,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,0,3.3
1st class,4,Lao Cai,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Ted Butterfield,Consumer,Vietnam,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,0.20000000000000001,16.362
1st class,1,Lao Cai,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Ted Butterfield,Consumer,Vietnam,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,0,0.84
Standard Class,2,Ha Noi,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Kunst Miller,Consumer,Vietnam,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,0,6.1512
Standard Class,6,Ha Noi,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Kunst Miller,Consumer,Vietnam,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,0.20000000000000001,9.3612
Standard Class,3,Ha Noi,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Kunst Miller,Consumer,Vietnam,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,0,68.9631
Standard Class,4,HN,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Kunst Miller,Consumer,Vietnam,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,0,22.3328
Standard Class,5,Hai Phong,US-2015-164175,4/30/2015,5/5/2015,PS-18970,Paul Stevenson,Home Office,Vietnam,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,0.29999999999999999,-15.2225
1st class,2,An Giang,CA-2016-119823,6/4/2016,6/6/2016,KD-16270,Karen Daniels,Consumer,Vietnam,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,0,35.6636
Standard Class,1,Tp.HCM,CA-2016-106075,9/18/2016,9/23/2016,HM-14980,Henry MacAllister,Consumer,Vietnam,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,0.20000000000000001,1.731
Second Class,3,Long An,CA-2017-114440,9/14/2017,9/17/2017,TB-21520,Tracy Blumstein,Consumer,Vietnam,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,0,8.763
Standard Class,-8,Lang Son,US-2015-134026,4/26/2015,5/2/2015,JE-15745,Joel Eaton,Consumer,Vietnam,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,0.20000000000000001,-114.3912
Standard Class,-2,Lang Son,US-2015-134026,4/26/2015,5/2/2015,JE-15745,Joel Eaton,Consumer,Vietnam,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,0.20000000000000001,1.213
Standard Class,-1,Lang Son,US-2015-134026,4/26/2015,5/2/2015,JE-15745,Joel Eaton,Consumer,Vietnam,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,0.20000000000000001,-18.196
First Class,3,Binh Duong,US-2017-118038,12/9/2017,12/11/2017,KB-16600,Ken Brennan,Corporate,Vietnam,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,0.80000000000000004,-1.9344
First Class,3,Binh Duong,US-2017-118038,12/9/2017,12/11/2017,KB-16600,Ken Brennan,Corporate,Vietnam,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,0.59999999999999998,-5.8248
First Class,3,Binh Duong,US-2017-118038,12/9/2017,12/11/2017,KB-16600,Ken Brennan,Corporate,Vietnam,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,0.20000000000000001,2.724
Second Class,-5,Binh Duong,US-2014-147606,11/26/2014,12/1/2014,JE-15745,Joel Eaton,Consumer,Vietnam,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,0.59999999999999998,-14.475
1st class,1,Quang Binh,CA-2016-127208,6/12/2016,6/15/2016,SC-20770,Stewart Carmichael,Corporate,Vietnam,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,0,56.2032
1st class,3,Quang Binh,CA-2016-127208,6/12/2016,6/15/2016,SC-20770,Stewart Carmichael,Corporate,Vietnam,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,0,8.0352
Standard Class,5,Nghe An,CA-2014-139451,10/12/2014,10/16/2014,DN-13690,Duane Noonan,Consumer,Vietnam,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,0,4.172
Standard Class,1,Nghe An,CA-2014-139451,10/12/2014,10/16/2014,DN-13690,Duane Noonan,Consumer,Vietnam,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,0,6.2031
First Class,3,Hai Phong,US-2017-119662,11/13/2017,11/16/2017,CS-12400,Christopher Schild,Home Office,Vietnam,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,0.20000000000000001,-48.9549
Second Class,2,Dong Thap,CA-2017-140088,5/28/2017,5/30/2017,PO-18865,Patrick O'Donnell,Consumer,Vietnam,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,0,33.2156
Standard Class,1,Lam Dong,CA-2017-155558,10/26/2017,11/2/2017,PG-18895,Paul Gonzalez,Consumer,Vietnam,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,0,6.7966
Standard Class,2,Lam Dong,CA-2017-155558,10/26/2017,11/2/2017,PG-18895,Paul Gonzalez,Consumer,Vietnam,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,0,2.9568
Second Class,7,Binh Duong,CA-2016-159695,4/5/2016,4/10/2016,GM-14455,Gary Mitchum,Home Office,Vietnam,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,0.20000000000000001,13.8572
Standard Class,3,Ha Noi,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,Jim Sink,Corporate,Vietnam,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,0,6.633
Standard Class,2,Ha Noi,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,Jim Sink,Corporate,Vietnam,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,0.20000000000000001,8.2782
Standard Class,1,Ha Noi,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,Jim Sink,Corporate,Vietnam,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,0,3.1104
Second Class,7,Tp.HCM,CA-2017-161018,11/9/2017,11/11/2017,PN-18775,Parhena Norris,Home Office,Vietnam,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,0,40.5426
1st class,3,Nghe An,CA-2017-157833,6/17/2017,6/20/2017,KD-16345,Katherine Ducich,Consumer,Vietnam,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,0.20000000000000001,17.9592
Standard Class,7,Hai Phong,CA-2016-158568,8/29/2016,9/2/2016,RB-19465,Rick Bensley,Home Office,Vietnam,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,0.20000000000000001,22.6184
Standard Class,3,Hai Phong,CA-2016-158568,8/29/2016,9/2/2016,RB-19465,Rick Bensley,Home Office,Vietnam,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,0.20000000000000001,-10.7973
Standard Class,3,Hai Phong,CA-2016-158568,8/29/2016,9/2/2016,RB-19465,Rick Bensley,Home Office,Vietnam,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,0.80000000000000004,-3.0396
Second Class,4,Lam Dong,CA-2016-129903,12/1/2016,12/4/2016,GZ-14470,Gary Zandusky,Consumer,Vietnam,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,0,11.7208
Standard Class,6,Gia Lai,US-2015-156867,11/13/2015,11/17/2015,LC-16870,Lena Cacioppo,Consumer,Vietnam,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,0.20000000000000001,-26.8758
Standard Class,3,Gia Lai,US-2015-156867,11/13/2015,11/17/2015,LC-16870,Lena Cacioppo,Consumer,Vietnam,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,0.20000000000000001,-3.8385
Standard Class,3,Gia Lai,US-2015-156867,11/13/2015,11/17/2015,LC-16870,Lena Cacioppo,Consumer,Vietnam,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,0.69999999999999996,-25.8174
Standard Class,8,Ha Tinh,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,Janet Martin,Consumer,Vietnam,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,0.20000000000000001,17.6016
Standard Class,1,Ha Tinh,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,Janet Martin,Consumer,Vietnam,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,0.20000000000000001,2.0994
Standard Class,1,Ha Tinh,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,Janet Martin,Consumer,Vietnam,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,0.20000000000000001,1.0738
Standard Class,2,Tp.HCM,CA-2017-146780,12/25/2017,12/30/2017,CV-12805,Cynthia Voltz,Corporate,Vietnam,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,0,10.9096
Second Class,14,Hai Duong,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,Ryan Crowe,Consumer,Vietnam,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,0.20000000000000001,14.5348
Second Class,2,Hai Duong,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,Ryan Crowe,Consumer,Vietnam,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,0.20000000000000001,1.652
Second Class,3,Hai Duong,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,Ryan Crowe,Consumer,Vietnam,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,0.20000000000000001,7.4925
Second Class,6,Hai Duong,CA-2014-115259,8/25/2014,8/27/2014,RC-19960,Ryan Crowe,Consumer,Vietnam,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,0.20000000000000001,44.0316
Standard Class,3,Dong Nai,CA-2015-110457,3/2/2015,3/6/2015,DK-13090,Dave Kipp,Consumer,Vietnam,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,0,165.3813
1st class,3,Tra Vinh,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,Steven Cartwright,Consumer,Vietnam,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,0,18.3456
1st class,4,Tra Vinh,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,Steven Cartwright,Consumer,Vietnam,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,0,13.878
1st class,6,Tra Vinh,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,Steven Cartwright,Consumer,Vietnam,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,0,63.4368
1st class,9,Tra Vinh,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,Steven Cartwright,Consumer,Vietnam,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,0,51.759
1st class,7,Tra Vinh,CA-2016-103730,6/12/2016,6/15/2016,SC-20725,Steven Cartwright,Consumer,Vietnam,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,0,19.7316
Second Class,3,Binh Duong,US-2014-152030,12/26/2014,12/28/2014,AD-10180,Alan Dominguez,Home Office,Vietnam,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,0.29999999999999999,-8.5794
Standard Class,2,Quang Nam,US-2017-107272,11/5/2017,11/12/2017,TS-21610,Troy Staebel,Consumer,Vietnam,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,0.69999999999999996,-1.8308
Standard Class,7,Quang Nam,US-2017-107272,11/5/2017,11/12/2017,TS-21610,Troy Staebel,Consumer,Vietnam,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,0.20000000000000001,30.499
Second Class,2,HN,US-2016-125969,11/6/2016,11/10/2016,LS-16975,Lindsay Shagiari,Home Office,Vietnam,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,0.20000000000000001,-9.1602
Second Class,3,HN,US-2016-125969,11/6/2016,11/10/2016,LS-16975,Lindsay Shagiari,Home Office,Vietnam,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,0,26.2416
First Class,5,Hai Duong,US-2017-164147,2/2/2017,2/5/2017,DW-13585,Dorothy Wardle,Corporate,Vietnam,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,0.40000000000000002,-11.994
First Class,2,Hai Duong,US-2017-164147,2/2/2017,2/5/2017,DW-13585,Dorothy Wardle,Corporate,Vietnam,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,0.20000000000000001,29.364
First Class,9,Hai Duong,US-2017-164147,2/2/2017,2/5/2017,DW-13585,Dorothy Wardle,Corporate,Vietnam,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,0.20000000000000001,6.9732
Second Class,2,Thanh Hoa,CA-2016-110366,9/5/2016,9/7/2016,JD-15895,Jonathan Doherty,Corporate,Vietnam,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,0.20000000000000001,10.35
Standard Class,3,Nghe An,CA-2017-106180,9/18/2017,9/23/2017,SH-19975,Sally Hughsby,Corporate,Vietnam,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,0,2.3814
Standard Class,3,Nghe An,CA-2017-106180,9/18/2017,9/23/2017,SH-19975,Sally Hughsby,Corporate,Vietnam,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,0,5.1042
Standard Class,3,Nghe An,CA-2017-106180,9/18/2017,9/23/2017,SH-19975,Sally Hughsby,Corporate,Vietnam,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,0,68.976
Standard Class,7,Vinh Phuc,CA-2015-110744,9/7/2015,9/12/2015,HA-14920,Helen Andreada,Consumer,Vietnam,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,0,20.1579
Standard Class,4,Tien Giang,CA-2014-110072,10/22/2014,10/28/2014,MG-17680,Maureen Gastineau,Home Office,Vietnam,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,0.20000000000000001,12.9096
Standard Class,11,Vinh Long,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Justin Ellison,Corporate,Vietnam,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,0,103.8015
Standard Class,3,Vinh Long,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Justin Ellison,Corporate,Vietnam,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,0,5.9988
Standard Class,8,Vinh Long,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Justin Ellison,Corporate,Vietnam,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,0,585.552
Standard Class,5,Vinh Long,CA-2016-114489,12/5/2016,12/9/2016,JE-16165,Justin Ellison,Corporate,Vietnam,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,0,80.6285
1st class,7,Da Nang,CA-2015-124919,5/31/2015,6/2/2015,SP-20650,Stephanie Phelps,Corporate,Vietnam,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,0,26.271
1st class,4,Da Nang,CA-2015-124919,5/31/2015,6/2/2015,SP-20650,Stephanie Phelps,Corporate,Vietnam,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,105.52,0,48.5392
1st class,6,Da Nang,CA-2015-124919,5/31/2015,6/2/2015,SP-20650,Stephanie Phelps,Corporate,Vietnam,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,0,21.0288
